"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;__"	"hpf"	"hpf"	"hpf"	1.2659828994336	-0.373904837490893	0.115629817791309	1.11022302462516e-16	9.11271058612328e-13	1.11022302462516e-16	6.73239242132695e-13	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Amphritea;__"	"hpf"	"hpf"	"hpf"	0.88872838775106	-0.373904837490893	0.109468589584928	4.34763336443211e-13	1.78426873276294e-09	4.34763336443211e-13	1.31820243609582e-09	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Psychrobium;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.71604231358054	-0.373904837490893	0.209534311950891	1.21547216735962e-12	3.32553184989592e-09	1.21547216735962e-12	2.45687440762291e-09	NA	"abundance"	63	60
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_Colwelliaceae"	"hpf"	"hpf"	"hpf"	1.04491038564895	-0.373904837490893	0.147513346586478	1.69103619995781e-11	3.47000628231342e-08	1.69103619995781e-11	2.56361087913604e-08	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae;g__Nitrincolaceae;s__uncultured_gamma"	"hpf"	"hpf"	"hpf"	1.10352145890043	-0.373904837490893	0.162733741099394	4.47194503649939e-11	6.94265525069682e-08	4.47194503649939e-11	5.12917415207426e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Litoribrevibacter;s__Litoribrevibacter_euphylliae"	"hpf"	"hpf"	"hpf"	1.06486973707264	-0.373904837490893	0.159190473542601	5.07504038793627e-11	6.94265525069682e-08	5.07504038793627e-11	5.12917415207426e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Marine_Methylotrophic_Group_3;s__uncultured_bacterium"	"leachate"	".L"	"leachate.L"	3.44142342910716	-0.0835119858870094	0.355540627333984	7.82431897050628e-11	8.49390058288435e-08	7.82431897050628e-11	6.27522089846622e-08	NA	"abundance"	63	44
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae;g__Thalassolituus;s__uncultured_bacterium"	"hpf"	"hpf"	"hpf"	1.06133847633075	-0.373904837490893	0.160906879088291	8.27865553887364e-11	8.49390058288435e-08	8.27865553887364e-11	6.27522089846622e-08	NA	"abundance"	63	63
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea;s__uncultured_marine"	"hpf"	"hpf"	"hpf"	1.42730512914695	-0.373904837490893	0.21232416658422	1.33834943127908e-10	1.22057468132653e-07	1.33834943127908e-10	9.01750105697374e-08	NA	"abundance"	63	61
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nautella;__"	"hpf"	"hpf"	"hpf"	0.920242297663585	-0.373904837490893	0.146156384904544	1.71405556415039e-10	1.40689680705464e-07	1.71405556415039e-10	1.03940329410079e-07	NA	"abundance"	63	63
