"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae"	"hpf"	"hpf"	"hpf"	-5.0266765240045	0	0.127518358164238	0	0	0	0	NA	"prevalence"	63	51
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae"	"leachate"	".L"	"leachate.L"	-10.085889883507	0	0.162416785088977	0	0	0	0	NA	"prevalence"	63	51
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae"	"leachate"	".L:hpf"	"leachate.L:hpf"	8.86581189870248	0	0.18783916432935	0	0	0	0	NA	"prevalence"	63	51
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	7.89485315211483	0	0.145938275162228	0	0	0	0	NA	"prevalence"	63	56
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae"	"leachate"	".Q"	"leachate.Q"	-8.09471261244216	0	0.220374867451645	2.29032540912879e-295	1.390685588423e-292	4.58065081825738e-295	1.96051855021416e-292	NA	"prevalence"	63	56
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae"	"leachate"	".C"	"leachate.C"	4.24706878938064	0	0.137368602769572	6.98970865703494e-210	3.53679258045968e-207	1.39794173140702e-209	4.98599217535169e-207	NA	"prevalence"	63	51
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade"	"leachate"	".L:hpf"	"leachate.L:hpf"	-7.82978900981461	0	0.259412521426738	3.98682799421152e-200	1.72914425577517e-197	7.97365598842291e-200	2.43766054503215e-197	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade"	"leachate"	".L"	"leachate.L"	7.32548243880733	0	0.271910235019758	7.30925132596162e-160	2.77386087820243e-157	1.46185026519236e-159	3.91044945938958e-157	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae"	"hpf"	"hpf"	"hpf"	-4.10204376097696	0	0.162769858541313	3.85733766487117e-140	1.30120857228321e-137	7.71467532974256e-140	1.83437835618323e-137	NA	"prevalence"	63	56
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__PS1_clade"	"hpf"	"hpf"	"hpf"	-5.17673833879974	0	0.212502091234295	4.4456085261082e-131	1.34968674852645e-128	8.8912170522162e-131	1.90272044917427e-128	NA	"prevalence"	63	50
