"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-1882"	"leachate"	".Q"	"leachate.Q"	-10.1786793002891	0	0.222654097896278	0	0	0	0	NA	"prevalence"	63	58
"PWY-6174"	"leachate"	".C"	"leachate.C"	8.45687044215383	0	0.147830708714626	0	0	0	0	NA	"prevalence"	63	41
"PWY-6174"	"leachate"	".C:hpf"	"leachate.C:hpf"	-5.84099812855199	0	0.151411350089617	0	0	0	0	NA	"prevalence"	63	41
"PWY-6174"	"leachate"	".Q"	"leachate.Q"	-6.38706362903863	0	0.14689418995527	0	0	0	0	NA	"prevalence"	63	41
"PWY-1882"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-5.59968238598891	0	0.167405078146021	2.5827594217288e-245	1.85752057610735e-242	5.1655188434572e-245	3.0290602498033e-242	NA	"prevalence"	63	58
"PWY-6174"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	4.34485168242509	0	0.148610529119094	6.66697245368642e-188	3.9957388239094e-185	1.33339449073726e-187	6.51585441140274e-185	NA	"prevalence"	63	41
"PWY-1882"	"leachate"	".C:hpf"	"leachate.C:hpf"	-4.67851697112992	0	0.171809088563638	2.7976737715424e-163	1.4372049832095e-160	5.59534754308474e-163	2.34365128518921e-160	NA	"prevalence"	63	58
"PWY-6174"	"leachate"	".L"	"leachate.L"	-2.90320621966124	0	0.148550319665644	4.67757796755153e-85	2.10257129641441e-82	9.35515593510314e-85	3.4286646502153e-82	NA	"prevalence"	63	41
"PWY-6654"	"leachate"	".C"	"leachate.C"	7.62470201446798	0	0.398355569965323	1.16277631288074e-81	4.64593735679905e-79	2.32555262576146e-81	7.57613366525845e-79	NA	"prevalence"	63	35
"PWY-5198"	"leachate"	".C"	"leachate.C"	7.88752737100674	0	0.449478864407405	6.14375689696556e-69	2.20929498014882e-66	1.22875137939312e-68	3.60269904438062e-66	NA	"prevalence"	63	43
"PWY-6174"	"hpf"	"hpf"	"hpf"	-2.44835285381605	0	0.141128415675679	2.02798566051844e-67	6.62966948656756e-65	4.05597132103692e-67	1.08110071938911e-64	NA	"prevalence"	63	41
"PWY-6654"	"leachate"	".C:hpf"	"leachate.C:hpf"	-5.85649819689718	0	0.40177581300152	3.96132293550243e-48	1.18707643967223e-45	7.9226458710049e-48	1.9357664744822e-45	NA	"prevalence"	63	35
"PWY-6654"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	5.08175243400433	0	0.377878871655379	3.15889687336808e-41	8.73799473587048e-39	6.31779374673621e-41	1.4249054819562e-38	NA	"prevalence"	63	35
"PWY-6654"	"leachate"	".Q"	"leachate.Q"	-5.04647879007852	0	0.379900237212376	2.87833738000245e-40	7.39321515606343e-38	5.75667476000494e-40	1.20561217116675e-37	NA	"prevalence"	63	35
"PWY-5198"	"leachate"	".Q"	"leachate.Q"	-5.13778215891303	0	0.430449641424665	7.69690158791889e-33	1.84520387401042e-30	1.53938031758379e-32	3.00897539410378e-30	NA	"prevalence"	63	43
