"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales"	"leachate"	".L:hpf"	"leachate.L:hpf"	-7.82978900981461	0	0.259412521426738	3.98682799421152e-200	6.79754173013064e-197	7.97365598842291e-200	9.56041353011908e-197	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales"	"leachate"	".L"	"leachate.L"	7.32548243880733	0	0.271910235019758	7.30925132596162e-160	6.23113675538228e-157	1.46185026519236e-159	8.76379233982823e-157	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales"	"hpf"	"hpf"	"hpf"	-5.17673833879974	0	0.212502091234295	4.4456085261082e-131	2.52658751233816e-128	8.8912170522162e-131	3.55352308186907e-128	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales"	"leachate"	".C"	"leachate.C"	-3.89428237299634	0	0.262956425144493	1.26972947574245e-49	5.4122218903522e-47	2.53945895148489e-49	7.61202820707597e-47	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales"	"leachate"	".C:hpf"	"leachate.C:hpf"	2.70520220162971	0	0.261466850386635	4.35185500646267e-25	1.48398255720377e-22	8.70371001292534e-25	2.0871496610995e-22	NA	"prevalence"	63	50
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales"	"leachate"	".Q"	"leachate.Q"	-5.25692818505129	0	0.517436778509882	3.00439967780378e-24	8.53750241775908e-22	6.00879935560758e-24	1.20075840456225e-21	NA	"prevalence"	63	55
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales"	"leachate"	".C"	"leachate.C"	5.31721934335765	0	0.570386757907015	1.14028092222408e-20	2.77739853198866e-18	2.28056184444816e-20	3.90627664499049e-18	NA	"prevalence"	63	55
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales"	"leachate"	".C:hpf"	"leachate.C:hpf"	5.1240258723784	0	0.597047094639213	9.30101800797236e-18	1.98227946294911e-15	1.86020360159448e-17	2.78798014788972e-15	NA	"prevalence"	63	55
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales"	"leachate"	".L"	"leachate.L"	3.46340277363152	-0.263556990697081	0.352270050389233	1.30705109528398e-10	2.22852211745918e-08	1.30705109528398e-10	1.74128251471721e-08	NA	"abundance"	63	45
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales"	"leachate"	".Q:hpf"	"leachate.Q:hpf"	-3.39196523285475	0	0.527636100145664	1.28778419826387e-10	2.22852211745918e-08	2.5755683963619e-10	3.08810650723791e-08	NA	"prevalence"	63	55
